buy it at 06-22:28 | money: 10002.99
    buy price: 6099.010000  |  current-amount: 1.000000, current-account: 3900.990000
sell it at 06-22:45 | money: 9992.97
    sell price: 6091.980000  |  current-amount: 0.000000, current-account: 9992.970000
buy it at 06-23:10 | money: 9993.69
    buy price: 6091.290000  |  current-amount: 1.000000, current-account: 3901.680000
sell it at 06-23:25 | money: 9966.67
    sell price: 6064.990000  |  current-amount: 0.000000, current-account: 9966.670000
buy it at 06-23:25 | money: 9971.44
    buy price: 6065.230000  |  current-amount: 1.000000, current-account: 3901.440000
sell it at 06-23:46 | money: 9927.44
    sell price: 6026.000000  |  current-amount: 0.000000, current-account: 9927.440000
buy it at 06-23:46 | money: 9927.45
    buy price: 6025.990000  |  current-amount: 1.000000, current-account: 3901.450000
sell it at 06-23:46 | money: 9924.45
    sell price: 6023.000000  |  current-amount: 0.000000, current-account: 9924.450000
buy it at 06-23:47 | money: 9928.53
    buy price: 6020.810000  |  current-amount: 1.000000, current-account: 3903.640000
sell it at 06-23:47 | money: 9923.23
    sell price: 6019.590000  |  current-amount: 0.000000, current-account: 9923.230000
buy it at 06-23:47 | money: 9933.22
    buy price: 6010.000000  |  current-amount: 1.000000, current-account: 3913.230000
sell it at 06-23:47 | money: 9914.23
    sell price: 6001.000000  |  current-amount: 0.000000, current-account: 9914.230000
buy it at 06-23:47 | money: 9915.23
    buy price: 5999.000000  |  current-amount: 1.000000, current-account: 3915.230000
sell it at 06-23:47 | money: 9914.22
    sell price: 5998.990000  |  current-amount: 0.000000, current-account: 9914.220000
buy it at 06-23:47 | money: 9923.14
    buy price: 5990.070000  |  current-amount: 1.000000, current-account: 3924.150000
sell it at 06-23:48 | money: 9907.05
    sell price: 5982.900000  |  current-amount: 0.000000, current-account: 9907.050000
buy it at 06-23:48 | money: 9919.05
    buy price: 5968.000000  |  current-amount: 1.000000, current-account: 3939.050000
sell it at 06-23:48 | money: 9919.05
    sell price: 5980.000000  |  current-amount: 0.000000, current-account: 9919.050000
buy it at 06-23:48 | money: 9932.43
    buy price: 5966.620000  |  current-amount: 1.000000, current-account: 3952.430000
sell it at 06-23:48 | money: 9902.43
    sell price: 5950.000000  |  current-amount: 0.000000, current-account: 9902.430000
buy it at 06-23:48 | money: 9919.14
    buy price: 5933.290000  |  current-amount: 1.000000, current-account: 3969.140000
sell it at 06-23:48 | money: 9919.14
    sell price: 5950.000000  |  current-amount: 0.000000, current-account: 9919.140000
buy it at 06-23:48 | money: 9935.85
    buy price: 5933.290000  |  current-amount: 1.000000, current-account: 3985.850000
sell it at 06-23:49 | money: 9898.85
